Munip,CodIBGE,Index,DtInicial,DtFinal,Regiao,Estado,Cidade,Produto,NmPostPesq,UnidMedida,PcMedRev,PcDevRev,PcMinRev,PcMaxRev,MgMedRev,CfVarRev,PcMedDist,PcDevDist,PcMinDist,PcMaxDist,MgMedDist,CfVarDist,Periodo,Combust,TipoRelat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
DRACENA,3514403,39285,2020-04-26,2020-05-02,SUDESTE,SAO PAULO,DRACENA,GASOLINA COMUM,10,R$/l,3.641,0.128377221932519,3.399,3.79,0.31,0.035,3.331,0.05727564927611,3.29,3.371,0.017,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,175.42641902904802,66.25720208962608,74.86298600566965,239.5475170586757,1259.415162561821,719.7508003110181,474.4769432136408,2438.3208504289114
PRESIDENTE VENCESLAU,3541505,39485,2020-04-26,2020-05-02,SUDESTE,SAO PAULO,PRESIDENTE VENCESLAU,GASOLINA COMUM,10,R$/l,3.863,0.086104329482062,3.78,3.999,0.718,0.022,3.145,0.035355339059327,3.12,3.17,0.011,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,145.54462216506298,62.89234040573136,55.60281557131511,236.65879593274656,1279.6604977318295,737.6906577813301,479.48956143022974,2491.353461549473
CHAPECÓ,4204202,39255,2020-04-26,2020-05-02,SUL,SANTA CATARINA,CHAPECO,GASOLINA COMUM,9,R$/l,3.881,0.153676608499797,3.499,3.999,0.638,0.04,3.243,0.080822305089622,3.1857,3.3,0.025,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,165.6104285353279,68.86682308791885,7.540999770827154,220.81078549072657,1463.2304612482983,963.6560914454175,337.9676775238197,2993.9791830596946
CONCÓRDIA,4204301,39261,2020-04-26,2020-05-02,SUL,SANTA CATARINA,CONCORDIA,GASOLINA COMUM,6,R$/l,3.827,0.153341992509119,3.669,3.999,NA,0.04,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,167.04331436916496,68.99966093947191,30.483891024905272,244.74029289000694,1432.6515482658313,973.6691178984103,304.30837459815183,2974.7628289743557
XANXERÊ,4219507,39605,2020-04-26,2020-05-02,SUL,SANTA CATARINA,XANXERE,GASOLINA COMUM,4,R$/l,3.912,0.053011791141217,3.869,3.989,NA,0.014,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,171.5225058341026,66.7153416135298,40.2222412292504,230.47842735167274,1438.7389386769896,957.4092606811411,336.83726153327007,2960.9454965521327
ALEGRETE,4300406,39153,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,ALEGRETE,GASOLINA COMUM,7,R$/l,4.349,0.047118391920171,4.299,4.399,0.903,0.011,3.446,0.217016381870125,3.2975,3.6954,0.063,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,275.60654614402694,77.15138597720141,196.36076368454584,423.4926997940009,1820.3844697895995,1013.2529559525508,434.2431081912884,3414.1008094916297
BAGÉ,4301602,39187,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,BAGE,GASOLINA COMUM,9,R$/l,4.707,0.071766016408263,4.638,4.799,NA,0.015,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,258.4492578400317,100.22225676701788,3.261709176047398,326.7285456703978,1811.8274267153158,1072.2024365124921,207.17565634379082,3467.8865588701015
CACHOEIRA DO SUL,4303004,39223,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,CACHOEIRA DO SUL,GASOLINA COMUM,8,R$/l,4.051,0.054663744840616,3.96,4.099,0.648,0.013,3.403,0.09616652224137,3.335,3.471,0.028,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,144.96289637552786,31.967959224843472,86.43194511870938,166.780988525632,1648.301146386073,1057.1027945517765,168.4789860889618,3285.999737462859
CRUZ ALTA,4306106,39274,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,CRUZ ALTA,GASOLINA COMUM,9,R$/l,4.21,0.204171768643736,3.919,4.399,0.501,0.048,3.709,0.04754597774786,3.6694,3.7672,0.013,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,112.43124426855243,74.14365830059299,4.557972923736054,249.99262193578602,1605.8825063033325,1006.9881492071834,273.9578391077288,3189.738815988302
ERECHIM,4307005,39288,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,ERECHIM,GASOLINA COMUM,11,R$/l,4.101,0.309170503120851,3.799,4.69,0.27,0.075,3.831,0.446603570481324,3.3927,4.2742000000000004,0.117,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,154.2791550716521,55.500328656266376,62.2263226340343,202.59097174456903,1468.3584492898765,985.4158219121094,270.92590067062343,3025.5486987913
IJUÍ,4310207,39322,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,IJUI,GASOLINA COMUM,8,R$/l,4.026,0.176902717414322,3.689,4.193,NA,0.044,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,116.69714818013762,89.2537382042668,1.277808948351731,254.1118030978651,1612.7967320211296,994.8920570524001,314.74280305506085,3183.052822467412
LAJEADO,4311403,39378,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,LAJEADO,GASOLINA COMUM,6,R$/l,3.895,0.090630384897487,3.795,4.003,0.419,0.023,3.476,0,3.4757,3.4757,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,101.10341320577051,47.95687718859351,2.677461106241723,176.2985953021219,1557.8416090398607,1048.8955804979353,90.25429718494291,3185.7600940879024
PASSO FUNDO,4314100,39450,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,PASSO FUNDO,GASOLINA COMUM,12,R$/l,3.932,0.16143297699233,3.499,4.099,NA,0.041,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,141.40447393864858,53.5545556249116,2.726696341321465,207.24159974898305,1510.1302610814257,1005.9870183789782,215.8213141040466,3091.7833699157645
PELOTAS,4314407,39459,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,PELOTAS,GASOLINA COMUM,14,R$/l,4.032,0.133092651360448,3.958,4.399,NA,0.033,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,234.86949113201618,24.49014223879593,169.72523283116942,262.7677014808547,1744.2767166763388,1098.0651007327267,43.59799352440657,3422.6153413087486
RIO GRANDE,4315602,39496,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,RIO GRANDE,GASOLINA COMUM,14,R$/l,4.348,0.171912848480058,3.999,4.499,NA,0.04,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,264.7678947252848,27.90041337800611,204.26307570413124,306.788443513525,1759.1340260325794,1105.430701529669,0.447026615125325,3443.8674137896555
SANTA CRUZ DO SUL,4316808,39507,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SANTA CRUZ DO SUL,GASOLINA COMUM,11,R$/l,4.073,0.137067203158955,3.949,4.37,NA,0.034,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,119.3343953969833,25.370805020549273,54.06937245847258,164.18504894843093,1599.9139930607848,1052.6400298860333,123.96832600800337,3232.30508666252
SANTA MARIA,4316907,39509,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SANTA MARIA,GASOLINA COMUM,10,R$/l,3.889,0.061844248811924,3.799,3.969,NA,0.016,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,138.54940392129117,75.04517267125657,3.990300031993051,247.83724805553405,1680.5858344390806,1036.8057181780953,256.99168362181524,3297.8084064519508
SANTA ROSA,4317202,39510,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SANTA ROSA,GASOLINA COMUM,7,R$/l,4.056,0.144624801930144,3.878,4.299,NA,0.036,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,176.73455018435322,79.05200653082079,69.23377526793026,300.838296806251,1625.0004953820535,970.1795686401571,392.63396925107355,3166.59479127108
SANTO ÂNGELO,4317509,39515,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SANTO ANGELO,GASOLINA COMUM,7,R$/l,3.991,0.063326440727694,3.88,4.099,0.536,0.016,3.455,0.204353859762912,3.31,3.599,0.059,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,141.3553222885967,89.33675509902362,20.03551379182886,276.9116504077491,1631.782150796312,987.8180408620286,348.7083431428829,3194.129000945253
SÃO GABRIEL,4318309,39524,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SAO GABRIEL,GASOLINA COMUM,7,R$/l,3.97,0.060868711174133,3.889,4.059,NA,0.015,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,199.27169948982151,73.72394072305103,88.95925747500095,301.08336507224567,1755.3334997085917,1047.693055011455,284.9241100241695,3385.2146556629486
SÃO LUIZ GONZAGA,4318903,39536,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,SAO LUIZ GONZAGA,GASOLINA COMUM,5,R$/l,3.982,0.176471810780079,3.85,4.19,0.463,0.044,3.519,0,3.5193,3.5193,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,196.5757781333552,86.85629972537541,86.09449097172232,336.6561398529303,1685.7937958466468,982.6405374505719,403.81437233406547,3242.7654922636148
URUGUAIANA,4322400,39584,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,URUGUAIANA,GASOLINA COMUM,7,R$/l,4.148,0.145567199340406,3.89,4.299,0.778,0.035,3.37,0,3.37,3.37,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,386.21137806551013,76.38961242715477,320.62928622044984,521.263687551671,1911.9786580709017,995.1525289120025,540.4018538816819,3487.474039302683
CAMPO GRANDE,5002704,39236,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,CAMPO GRANDE,GASOLINA COMUM,43,R$/l,3.901,0.047589305218789,3.79,3.999,NA,0.012,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,334.6790133822247,76.21032846652787,194.92733714707225,398.1163713398108,1487.7420844811445,632.9819887272421,779.9195375424486,2600.737919078082
CORUMBÁ,5003207,39267,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,CORUMBA,GASOLINA COMUM,8,R$/l,4.614,0.065237888859597,4.56,4.699,0.854,0.014,3.76,0,3.76,3.76,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,419.46058063253173,24.74615262818876,399.7275079447007,468.56820116337974,1742.9546722643868,556.0071770410568,1119.6292108176174,2771.771393477241
COXIM,5003306,39270,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,COXIM,GASOLINA COMUM,6,R$/l,4.194,0.120965146495454,4.069,4.41,0.66,0.029,3.534,0.180140028866435,3.35,3.71,0.051,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,279.9655042967248,75.29223894542116,175.8272275489745,347.0259595159847,1524.6725648618299,529.0104996292798,921.6570850649342,2485.165612452399
DOURADOS,5003702,39284,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,DOURADOS,GASOLINA COMUM,10,R$/l,4.136,0.11876685845246,3.999,4.409,0.697,0.029,3.439,0,3.4391,3.4391,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,231.66919858345372,115.95376836364291,9.375491089836746,334.83507681759113,1500.2749847913842,723.3040325595199,665.8668472110236,2741.183315488225
NOVA ANDRADINA,5006200,39424,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,NOVA ANDRADINA,GASOLINA COMUM,6,R$/l,4.191,0.131818688609266,3.999,4.339,0.636,0.031,3.555,0,3.555,3.555,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,175.5239762290101,22.313204919766697,140.94092746067562,202.79852465247475,1389.0935582565944,739.2341185056291,546.7493326119242,2631.3338350840486
PONTA PORÃ,5006606,39474,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,PONTA PORA,GASOLINA COMUM,3,R$/l,4.312,0.098657657246325,4.199,4.379,NA,0.023,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,289.6262382748745,96.1053419693277,106.20435357569488,370.5806484185566,1572.9681201066544,728.3944574882632,729.4800131455079,2830.344793636788
TRÊS LAGOAS,5008305,39572,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO DO SUL,TRES LAGOAS,GASOLINA COMUM,10,R$/l,4.175,0.147930313924421,3.995,4.499,NA,0.035,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,226.6423411631886,48.92726681419482,154.20074112342505,280.3968995344472,1275.751081091154,677.1346686485006,519.8328704294555,2396.688655689444
CÁCERES,5102504,39222,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO,CACERES,GASOLINA COMUM,8,R$/l,4.028,0.123999351956832,3.859,4.199,NA,0.031,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,270.6076531774335,117.54058456912696,166.41704403407587,506.10257175874835,1803.3748895059334,436.1307959304163,1329.0696232842802,2621.471984983566
CUIABÁ,5103403,39278,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO,CUIABA,GASOLINA COMUM,73,R$/l,3.902,0.091475966019543,3.679,4.397,NA,0.023,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,127.74206275252565,152.28999772507277,14.412892454109855,400.1908457396738,1695.951421445889,399.91877038817336,1229.10702039023,2442.654046256643
RONDONÓPOLIS,5107602,39499,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO,RONDONOPOLIS,GASOLINA COMUM,23,R$/l,3.769,0.112496640266037,3.599,3.99,0.529,0.03,3.24,0.037243299173587,3.2063,3.28,0.011,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,154.13527364079735,68.13278199583401,25.674626218336915,229.76250571680112,1565.1517049342392,426.59804473933264,1047.9592182518952,2353.671161551207
VÁRZEA GRANDE,5108402,39591,2020-04-26,2020-05-02,CENTRO OESTE,MATO GROSSO,VARZEA GRANDE,GASOLINA COMUM,20,R$/l,3.8,0.114358439266977,3.66,4.139,NA,0.03,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,130.04270593632083,156.10423903867462,4.253781859881237,411.0281146523093,1698.5146171894216,403.9707428480818,1228.4415445669608,2453.823564265894
MINEIROS,5213103,39408,2020-04-26,2020-05-02,CENTRO OESTE,GOIAS,MINEIROS,GASOLINA COMUM,6,R$/l,4.288,0.19605679449248,4.109,4.549,NA,0.046,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,272.11417403459654,115.70519064638242,82.00381420964473,378.740565646913,1393.1852400993155,481.89218011263335,804.7319255220419,2234.3724869596845
EUNÁPOLIS,2910727,39290,2020-04-26,2020-05-02,NORDESTE,BAHIA,EUNAPOLIS,GASOLINA COMUM,8,R$/l,4.366,0.06172158108335,4.259,4.45,0.946,0.014,3.42,0.093045772785943,3.33,3.5176,0.027,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,384.32233507761623,52.20591118785508,286.21952038974416,427.0074512104442,1199.5195242271675,592.0254351858802,420.462405333737,2666.945461445619
ILHÉUS,2913606,39323,2020-04-26,2020-05-02,NORDESTE,BAHIA,ILHEUS,GASOLINA COMUM,12,R$/l,4.368,0.086937237897999,4.249,4.599,0.965,0.02,3.403,0.03568476565707,3.36,3.4419,0.01,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,222.20927183018327,33.480201298089256,155.63897750007558,248.62402451363764,1248.941277775843,635.5466375807068,236.59419212438368,2632.1536952649167
ITABUNA,2914802,39332,2020-04-26,2020-05-02,NORDESTE,BAHIA,ITABUNA,GASOLINA COMUM,15,R$/l,4.318,0.111581275097486,4.061,4.51,0.858,0.026,3.46,0.197989898732233,3.32,3.6,0.057,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,223.76266227194517,43.045132997001645,138.10263956516513,257.13251444326676,1241.1385806591043,628.8774327487795,242.6930668547753,2609.966876105383
ITAMARAJU,2915601,39338,2020-04-26,2020-05-02,NORDESTE,BAHIA,ITAMARAJU,GASOLINA COMUM,4,R$/l,4.357,0.182277261335582,4.199,4.529,NA,0.042,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,402.4416415244202,66.6443494740996,327.73950560444587,489.9230759952164,1190.8794041012395,590.5986309330416,490.92570149248553,2710.404316017747
POÇÕES,2925105,39471,2020-04-26,2020-05-02,NORDESTE,BAHIA,POCOES,GASOLINA COMUM,7,R$/l,4.208,0.053024253210879,4.1,4.249,0.725,0.013,3.483,0.109649564522619,3.342,3.5904,0.031,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,240.936530842311,80.25310735960186,80.50273807594505,290.64322729455324,1218.4157059755514,598.2987417135785,279.2977456725716,2492.2605134961054
PORTO SEGURO,2925303,39479,2020-04-26,2020-05-02,NORDESTE,BAHIA,PORTO SEGURO,GASOLINA COMUM,7,R$/l,4.791,0.188540762297226,4.599,5.098,1.031,0.039,3.76,0,3.7599,3.7599,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,394.21442106199834,42.384494592300875,309.7906499794865,423.8462912661711,1219.1389182893586,600.8431211834803,417.62862543011926,2719.0165177952217
TEIXEIRA DE FREITAS,2931350,39564,2020-04-26,2020-05-02,NORDESTE,BAHIA,TEIXEIRA DE FREITAS,GASOLINA COMUM,7,R$/l,4.055,0.126855185527585,3.899,4.299,0.998,0.031,3.057,0,3.0568,3.0568,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,398.9681397284135,98.04605656116603,277.53077480817404,546.4778728616815,1175.2777150791696,590.3765330377191,532.3122678708988,2721.327355439434
VITÓRIA DA CONQUISTA,2933307,39600,2020-04-26,2020-05-02,NORDESTE,BAHIA,VITORIA DA CONQUISTA,GASOLINA COMUM,10,R$/l,4.3,0.142852526909553,4.14,4.499,0.857,0.033,3.443,0,3.4429,3.4429,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,299.28076040791177,81.30060247624725,136.67180526179678,347.1752579268352,1199.5080015687759,575.54823321196,340.9730106403739,2465.1631224195594
ALFENAS,3101607,39155,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ALFENAS,GASOLINA COMUM,7,R$/l,4.307,0.160376343107615,3.999,4.497,0.6,0.037,3.707,0.153442171517481,3.5983,3.8153,0.041,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,169.7363651053402,40.808974376405445,73.44039043987713,195.23475946186738,991.3044041472991,782.4885593567167,188.85154170303232,2528.1257147155634
ARAGUARI,3103504,39170,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ARAGUARI,GASOLINA COMUM,17,R$/l,4.101,0.096581076882403,3.959,4.299,0.513,0.024,3.588,0.127703104336358,3.455,3.802,0.036,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,106.49270300920398,91.30453909788426,24.158544643542857,235.45391009821853,1124.9923751814379,582.0908144194398,454.87309538732035,2141.2295648362774
ARAXÁ,3104007,39179,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ARAXA,GASOLINA COMUM,10,R$/l,4.127,0.065995286026941,4.097,4.292,NA,0.016,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,160.39991890793917,22.581361840731542,109.82652201225648,190.80343694243902,1052.8246969802854,656.3650797994952,301.0926804960005,2305.1259565002865
BARBACENA,3105608,39190,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,BARBACENA,GASOLINA COMUM,8,R$/l,3.982,0.256939646887858,3.77,4.599,0.394,0.065,3.588,0,3.588,3.588,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,145.24261189187288,2.442758024886715,143.3618726340304,152.30611759193775,995.8900584870428,758.4871360746064,142.10119852359037,2659.3599198827314
BELO HORIZONTE,3106200,39202,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,BELO HORIZONTE,GASOLINA COMUM,41,R$/l,3.988,0.159563463175276,3.819,4.697,NA,0.04,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,62.03648435306433,87.59455514848254,17.194385003054787,237.3038295071129,1006.4935697619209,694.2683502060765,18.250771846787362,2546.3822753047198
BETIM,3106705,39205,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,BETIM,GASOLINA COMUM,11,R$/l,4.07,0.068205971479443,3.95,4.197,0.478,0.017,3.592,0.109195665359635,3.4987,3.7123,0.03,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,61.00461775625921,101.34484496158788,9.715204657489071,263.77200277495604,1003.0335426184168,697.7942033812818,10.739738963013833,2528.535647673933
BOM DESPACHO,3107406,39210,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,BOM DESPACHO,GASOLINA COMUM,7,R$/l,4.065,0.145818053621302,3.897,4.32,0.507,0.036,3.558,0.046103362133363,3.5251,3.5903,0.013,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,142.98934041329068,42.783470213831535,122.44282541479258,259.65342420481056,1013.775750499156,678.3729654951071,124.19748643104631,2433.7843077283046
CAMPO BELO,3111200,39235,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CAMPO BELO,GASOLINA COMUM,9,R$/l,4.235,0.131224997618594,3.99,4.34,0.536,0.031,3.699,0.057550065160693,3.641,3.7561,0.016,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,156.52640689094272,8.834819886667242,134.55472986316533,161.46351888203185,991.1056930203451,749.1332223266752,159.68682705543299,2527.6420341288986
CARATINGA,3113404,39244,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CARATINGA,GASOLINA COMUM,6,R$/l,4.453,0.076351162401106,4.299,4.499,0.957,0.017,3.496,0,3.496,3.496,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,184.97632742423576,40.84990364225303,103.21365790900813,205.99625170136733,1055.033802588053,661.3110823809245,205.47023548294726,2671.649912470791
CONGONHAS,3118007,39262,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CONGONHAS,GASOLINA COMUM,5,R$/l,4.17,0.114128436421428,4.08,4.299,0.623,0.027,3.547,0,3.5473,3.5473,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,97.78167066988975,64.23850632526218,64.73352106552247,229.37939082256057,1000.0113384974339,722.3376893295613,63.50520367177977,2596.0669585081346
CONSELHEIRO LAFAIETE,3118304,39263,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CONSELHEIRO LAFAIETE,GASOLINA COMUM,6,R$/l,4.049,0.137477877008145,3.899,4.298,NA,0.034,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,109.51048912991055,50.286048773930965,83.44158943730416,213.27524809526867,999.6621553196879,729.4299031144737,82.21253114936212,2613.4254143295134
CONTAGEM,3118601,39264,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CONTAGEM,GASOLINA COMUM,17,R$/l,4.042,0.236444527756263,3.875,4.899,NA,0.058,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,53.146447935429535,98.61929036269734,2.97757829650341,250.46387422497992,1004.1834383257476,696.4678993472188,4.833051183110878,2536.4822244853585
CORONEL FABRICIANO,3119401,39266,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CORONEL FABRICIANO,GASOLINA COMUM,9,R$/l,4.268,0.035495696139736,4.199,4.299,NA,0.008,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,149.4823886467621,24.724356004404513,99.95775658063289,162.27635023411207,1043.9812221269603,654.975946384524,162.12996906953074,2614.494801921328
CURVELO,3120904,39280,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,CURVELO,GASOLINA COMUM,6,R$/l,4.196,0.057472312174356,4.129,4.299,0.647,0.014,3.549,0.21708178182427,3.395,3.702,0.061,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,159.6240277541775,44.61762062650102,136.27430925879975,259.71778049805033,1037.4537446650509,621.1482255244443,139.67784051188872,2417.2635225299364
DIVINÓPOLIS,3122306,39283,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,DIVINOPOLIS,GASOLINA COMUM,10,R$/l,4.162,0.208729915866839,3.987,4.499,0.628,0.05,3.534,0.161138460130825,3.4409,3.72,0.046,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,110.62379874319089,50.54793543523949,85.12176862642258,226.56734296475244,1001.2915515311355,705.0357678798313,85.4693507207724,2492.2554810867982
FORMIGA,3126109,39293,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,FORMIGA,GASOLINA COMUM,7,R$/l,4.306,0.123923939806411,4.099,4.399,NA,0.029,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,150.5575175638204,10.470308119386452,131.2008823186248,177.267216834562,999.67466115492,722.7063009388854,149.17580869365256,2481.4353140572603
FRUTAL,3127107,39299,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,FRUTAL,GASOLINA COMUM,9,R$/l,4.506,0.248479095923804,4.259,4.999,1.038,0.055,3.468,0,3.468,3.468,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,113.84976279173657,16.4331559888932,96.96625472856833,144.9329816283439,1122.8119145514136,663.9584534926682,353.0199681618787,2218.184852954343
GOVERNADOR VALADARES,3127701,39305,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,GOVERNADOR VALADARES,GASOLINA COMUM,11,R$/l,4.389,0.13986694976428,4.22,4.699,0.638,0.032,3.751,0.122109581933606,3.6802,3.8917,0.033,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,201.73799336798413,99.75099220345093,2.881220095123233,257.23907101928086,1075.7445083373393,618.714004182029,257.70236082703286,2620.2560101771783
GUAXUPÉ,3128709,39315,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,GUAXUPE,GASOLINA COMUM,6,R$/l,4.219,0.118152443901935,4.049,4.399,NA,0.028,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,127.78125184498491,28.436043191807588,63.098386690724325,161.91340501413887,1009.1206305142354,772.4061185862461,163.59939177317383,2468.41513007407
IPATINGA,3131307,39326,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,IPATINGA,GASOLINA COMUM,11,R$/l,4.22,0.073707900156323,4.129,4.299,NA,0.017,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,156.79545955283402,33.85974735867973,88.99848225437316,174.15561104364306,1047.7019352043508,651.6247963923728,174.02763744973984,2619.42507687843
