CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3162500,1830357.33,2033658.532,20375.34,22530.37,0.11107186485821301,0.105766578619056,90082
3164704,1628739.688,1937431.27,23245.79,27468.44,0.189527881142907,0.181652247568269,70956
3167202,7268416.738,8262636.151,31032.3,34977.38,0.136786242291546,0.127128185793512,239639
3168606,2343818.687,2365624.218,16563.86,16667.07,0.009303420576406,0.006231035519498,140592
3168705,2633274.43,2876835.405,29837.11,32349.07,0.092493578422815,0.084189118852328,89842
3169307,2210695.46,2216413.209,28171.06,28056.22,0.002586402832709,-0.004076523922068,79482
3169901,2468108.269,2861452.246,22000.15,25255.54,0.159370632942035,0.147971263832292,115552
3170107,13463501.92,13152650.568,41390.63,40066.32,-0.023088447110349,-0.031995405723469,333783
3170206,32553438.906,34201961.801,48611.02,50548.78,0.050640514501715,0.03986256614241,691305
3170404,3138954.976,2676152.483,37615.7,31866.55,-0.147438397982297,-0.152839107074971,84378
3170701,4493127.634,5442562.717,33685.66,40506.11,0.211308282412349,0.202473396691649,135558
3171303,1507900.846,1557425.983,19366.08,19869.94,0.032843762327858,0.026017655612287,78846
3200607,4609679.183,5205061.242,47647.23,52900.73,0.129159109639496,0.110258245862351,101220
3201209,4822905.65,4766818.55,22930.73,22522.28,-0.011629317276816,-0.017812341778914,208972
3201308,7400654.401,7973675.167,19241.42,20584.24,0.07742839145719,0.069787988620383,381285
3201506,3243609.553,3345121.895,26243.22,26863.05,0.031296104028955,0.023618671794086,122499
3202405,2080765.801,2160859.148,17124.8,17544.28,0.038492245000138,0.024495468560217,124859
3203205,5277777.972,5480107.162,31700.08,32417.46,0.038336055641865,0.022630226800689,173555
3204906,2020713.11,2113166.615,15981.98,16451.41,0.04575290997147,0.029372455728264,130611
3205002,18331285.111,18538694.998,37099.68,36884.26,0.011314530636782,-0.005806519085879,517510
3205200,11049294.237,10994893.76,23035.49,22605.19,-0.00492343455004,-0.018679871797822,493838
3205309,21721213.287,20255652.094,60411.38,55779.18,-0.067471424069903,-0.076677606106664,362097
3300100,9294025.008,10099365.041,48531.75,51893.01,0.086651373576764,0.069258990248652,203785
3300209,2476383.71,2514577.061,19820.58,19840.12,0.015423034340668,9.85844006583e-4,132400
3300308,1984591.723,2026188.094,20427.7,20789.95,0.020959661636158,0.01773327393686,100374
3300407,4792723.201,4883050.681,26607.61,27211.05,0.018846796739931,0.022679225980838,184412
3300456,7941396.808,8187373.444,16071.11,16514.03,0.030973976234534,0.027560012967368,510906
3300704,7207339.91,8593977.294,33950.6,39781.41,0.192392394602629,0.1717439456151,226525
3301009,17274331.822,21088776.671,35457.36,43013.04,0.220815768060102,0.213092006849918,507548
3301702,41539673.406,40892161.053,46836.03,45894.84,-0.01558780558218,-0.020095426533803,919596
3301900,4350443.239,4186080.024,18850.55,18012.86,-0.037780797488989,-0.044438491184607,240592
3302007,7861566.037,7564818.568,65049.57,61819.73,-0.037746610230503,-0.049651980789419,133019
3302205,2519720.139,2705103.368,25322.8,27051.85,0.073572944126078,0.068280363940797,103224
3302403,17571148.197,15371353.001,73374.85,62961.48,-0.125193594142902,-0.141920153840178,256672
3302502,3684859.853,3855803.281,15592.74,16240.43,0.046390754280879,0.04153792085291,245071
3302700,5854082.235,11438880.398,39059.5,74760.02,0.95400063388416,0.914003507469374,161207
3303203,2541271.827,2643916.242,16051.59,16698.88,0.040390962473768,0.040325600143039,162485
3303302,23019308.8,27471324.047,46234.37,55049.66,0.193403515530405,0.19066529942984,513584
3303401,4802421.132,5014315.843,25944.73,27048.7,0.044122475971147,0.042550837877288,190631
