StationID,RzSocial,Endereco,Bairro,Bandeira,PcVenda,PcCompra,ModCompra,Fornecedor,DtColeta,Cidade,Produto,UnidMedida,DtInicial,DtFinal,Estado,CodIBGE,Place,Lon,Lat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
22,CARLOS ALBERTO PAPACIDERO,"AVENIDA PROFESSOR CELESTINO BOURROUL, 34",Limao,RAIZEN,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA PROFESSOR CELESTINO BOURROUL, 34, Limao, SAO PAULO, SAO PAULO, BRAZIL",-46.6724025,-23.513202,49508.28112696939,35869.91644434442,13481.797526357073,99601.67248996465,1007535.8811414939,903201.8282216225,23929.92791051343,2669306.6389837847
23,AUTO POSTO DHERINHO LTDA,"RUA JOAO RUDGE, 101",Casa Verde,BRANCA,3.499,3.075,FOB,FERA,2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA JOAO RUDGE, 101, Casa Verde, SAO PAULO, SAO PAULO, BRAZIL",-46.6553333,-23.5155194,48756.4813030665,35816.95435904314,12173.06521093238,100427.9521002239,1007082.7053128914,903445.8849794411,22383.6609834598,2670503.0836007213
24,CENTRO DE ABASTECIMENTO DE GAS MILENA LTDA,"AVENIDA OTAVIANO ALVES DE LIMA, 3926",Nossa Sra do O,RAIZEN,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA OTAVIANO ALVES DE LIMA, 3926, Nossa Sra do O, SAO PAULO, SAO PAULO, BRAZIL",-46.6956635,-23.5068296,50169.87151003217,35300.33733624468,12246.974046340585,97841.76953004513,1008083.080569911,902729.6848944261,26279.60638860512,2667383.37914954
25,AUTO POSTO GREEN LTDA,"AVENIDA JOAO PAULO I, 370",Nossa Senhora do O,BRANCA,3.499,3.016,FOB,FERA,2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA JOAO PAULO I, 370, Nossa Senhora do O, SAO PAULO, SAO PAULO, BRAZIL",-46.6883383,-23.4902672,49976.04034795617,34596.77486592172,13150.39564993123,96597.70540906453,1007442.3026510192,902112.1566057176,26762.425866223704,2666291.17673353
26,CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA PROFESSOR CELESTINO BOURROUL, 151",Bairro Limao,PETROBRAS DISTRIBUIDORA S.A.,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA PROFESSOR CELESTINO BOURROUL, 151, Bairro Limao, SAO PAULO, SAO PAULO, BRAZIL",-46.6733912,-23.5123829,49523.0741539124,35803.86319288123,13616.825779436196,99473.00053443444,1007544.9425603984,903159.3525163275,24064.947034391396,2669174.753925172
27,CENTRO AUTOMOTIVO MARECHAL TITO LTDA,"AVENIDA MARECHAL TITO, 3300",Sao Miguel,RAIZEN,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MARECHAL TITO, 3300, Sao Miguel, SAO PAULO, SAO PAULO, BRAZIL",-46.414722,-23.4947016,48655.597605897194,37552.78026256908,3904.4716585763704,113133.34574015232,1000900.8289158363,903284.4893573902,17533.913761957603,2682587.1335318256
28,COMPANHIA BRASILEIRA DE DISTRIBUICAO,"AVENIDA NOSSA SENHORA DO O, 1759 2003, PARTE",Freguesia do O,IPIRANGA,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA NOSSA SENHORA DO O, 1759 2003, PARTE, Freguesia do O, SAO PAULO, SAO PAULO, BRAZIL",-46.6898113,-23.5053172,50086.797385358856,35412.452334767426,12848.191520929251,97981.16543842723,1007864.9046369342,902721.303866156,25883.839314272587,2667582.2514632833
29,AUTO POSTO DINOSSAUROS LTDA.,"AVENIDA SAO MIGUEL, 1688",Vila Buenos Aires,BRANCA,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 1688, Vila Buenos Aires, SAO PAULO, SAO PAULO, BRAZIL",-46.5144007,-23.5125756,47035.14669170174,37417.63083778646,9092.45771588096,108146.46805042353,1003242.600679302,904158.2208788159,14490.317914176207,2678398.770956481
30,AUTO POSTO SINHA MOCA LIMITADA,"RUA CAP PACHECO E CHAVES, 394",Vila Prudente,BRANCA,3.499,3.049,FOB,STOCK,2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA CAP PACHECO E CHAVES, 394, Vila Prudente, SAO PAULO, SAO PAULO, BRAZIL",-46.5928425,-23.5819467,47737.76599971608,40076.119245755304,2552.630610715973,110005.85515007438,1006982.991361577,906684.2975735655,12957.500311410438,2680178.765776533
31,AUTO POSTO BLUE LTDA,"AVENIDA OTAVIANO ALVES DE LIMA, 3600",Casa Verde,BRANCA,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA OTAVIANO ALVES DE LIMA, 3600, Casa Verde, SAO PAULO, SAO PAULO, BRAZIL",-46.6923801,-23.5071506,50133.22149891741,35428.3119126582,12581.802152913662,98033.19958725934,1007990.3332219665,902773.062511926,25982.781922205282,2667601.8901145034
32,AUTO POSTO BOTURUÇU LTDA,"AVENIDA ITABERABA, 3074",Freguesia do Ó,RAIZEN,3.499,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA ITABERABA, 3074, Freguesia do Ó, SAO PAULO, SAO PAULO, BRAZIL",-46.697539,-23.500336,50136.848929204716,34874.12948820623,12088.131513645705,97118.35601831044,1007975.5302005785,902446.0725730646,26846.80821774678,2666681.4735797006
33,AUTO POSTO ATLANTA LTDA,"AVENIDA SAPOPEMBA, 579",Água Rasa,BRANCA,3.549,3.019,FOB,RAIZEN,2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAPOPEMBA, 579, Água Rasa, SAO PAULO, SAO PAULO, BRAZIL",-46.5742126,-23.5617655,47307.98593720174,39270.8584419338,4714.3104312493415,109105.17496042182,1005922.4731600542,906005.8342142281,12749.849634084625,2679413.2846418256
34,NOVASOC COMERCIAL LTDA,"AVENIDA CONDESSA ELISABETH DE ROBIANO, 5500 PARTE II",Jardim America da Penha,IPIRANGA,3.549,3.283,CIF,"NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA CONDESSA ELISABETH DE ROBIANO, 5500 PARTE II, Jardim America da Penha, SAO PAULO, SAO PAULO, BRAZIL",-46.5545799,-23.512737,47040.36169451125,36993.136023543986,10474.908470448214,105722.86200342716,1004217.2571713427,904019.2179880993,15901.45310097991,2676079.5562813506
35,AUTO POSTO TREVO DA SORTE LTDA,"RUA IBITIRAMA, 704",Vila Prudente,IPIRANGA,3.577,3.148,CIF,"NA",2020-04-27,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA IBITIRAMA, 704, Vila Prudente, SAO PAULO, SAO PAULO, BRAZIL",-46.584633,-23.5878916,47673.51948852752,40507.55006834338,1721.6894540966912,111002.48127999227,1006907.1360922703,906991.0046651089,11904.039298832467,2681195.7928587743
36,MARECHAL FUEL POSTO DE SERVIÇOS LTDA.,"RUA DOUTOR JOSÉ PEREIRA GOMES, 35",Jardim das Oliveiras,IPIRANGA,3.579,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA DOUTOR JOSÉ PEREIRA GOMES, 35, Jardim das Oliveiras, SAO PAULO, SAO PAULO, BRAZIL",-46.3861296,-23.4908768,49801.28716020312,37261.514246294835,6024.080749278614,114803.12853920982,1000365.2324462567,902994.4869703173,19242.699385543267,2683913.87028869
37,AUTO POSTO COMARIS LTDA,"AVENIDA DO CURSINO, 6467",Jardim Celeste,BRANCA,3.579,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA DO CURSINO, 6467, Jardim Celeste, SAO PAULO, SAO PAULO, BRAZIL",-46.6141839,-23.6558533,51296.335235430895,41477.61983017427,5891.560176455172,116060.25474137929,1009858.2745578372,909218.186327459,13530.565118082086,2685703.84802951
38,AUTO POSTO MKM LTDA.,"AVENIDA SÃO MIGUEL, 4681",Parque Boturussu,BRANCA,3.579,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SÃO MIGUEL, 4681, Parque Boturussu, SAO PAULO, SAO PAULO, BRAZIL",-46.4881973,-23.5071487,47196.2054167273,37483.16334063373,6596.084781333724,109320.49720915967,1002546.4962404083,903956.1496889658,14735.544054665432,2679429.7749694665
39,POSTO DE SERVIÇO RIO BRANCO EIRELI - EPP.,"AVENIDA SAO MIGUEL, 3608",Vila Rio Branco,BRANCA,3.579,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 3608, Vila Rio Branco, SAO PAULO, SAO PAULO, BRAZIL",-46.4978296,-23.510302,47129.81452238767,37498.12475471292,7576.328878986529,108983.18969892964,1002822.4219161317,904087.7162661552,14458.54151214768,2679155.875153879
40,POSTO DE SERVICO APOLO 8 LTDA,"AVENIDA MORVAN DIAS DE FIGUEIREDO, 2391",Vila Guilherme,IPIRANGA,3.579,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA MORVAN DIAS DE FIGUEIREDO, 2391, Vila Guilherme, SAO PAULO, SAO PAULO, BRAZIL",-46.609064,-23.5221629,47675.51341076676,36790.471691721104,9362.78692320668,103496.42873741215,1005905.8488933628,904091.5781977534,18359.456488179374,2673782.939246776
